"Tea Name","Price","Tea Image","Tea Description","ID","Created Date","Updated Date","Owner","AED"
"Ginger Lemon Tea",35,"wix:image://v1/edde33_68f559d447394ed683fa53ef2486cc4f~mv2.webp/Ginger%20Lemon%20Tea.webp#originWidth=800&originHeight=533","A zesty and soothing combination of spicy ginger and fresh lemon, served chilled for a revitalizing drink.","125d5230-ba99-49fa-8dab-0c166752b994",2024-11-14T08:19:07Z,2024-11-21T07:53:00Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Red Fruit Ice Tea",40,"wix:image://v1/edde33_dba470c56f1a421385d4642d6c5ab75d~mv2.webp/Red%20Fruit%20Ice%20Tea.webp#originWidth=250&originHeight=167","A vibrant mix of red fruits, offering a sweet and tangy iced tea with a burst of summer flavors.","182f86d2-1c99-4ceb-a60c-4966b38e6024",2024-11-14T08:19:08Z,2024-11-21T07:40:39Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Collada Ice Tea",40,"wix:image://v1/edde33_36b3755bfa854c61b52fb95173411a54~mv2.webp/Collada%20Ice%20Tea.webp#originWidth=250&originHeight=167","A refreshing iced tea with a vibrant, fruity flavor, perfect for a cool and invigorating experience on a warm day.","3ab67866-aa29-4487-a8a2-b22609f4f6d4",2024-11-14T08:19:07Z,2024-11-21T07:44:11Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Green Tea",35,"wix:image://v1/edde33_26662d413f1e4df5a04d9f0d697c65f9~mv2.webp/Green%20Tea.webp#originWidth=250&originHeight=167","A light and refreshing tea with a subtle, earthy flavor, known for its natural antioxidants and calming properties.","4d7143f2-1093-49f5-9540-ad714e2134db",2024-11-14T08:18:52Z,2024-11-21T08:00:40Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Morrocan Mint Tea",35,"wix:image://v1/edde33_91e577c1a49447999775df48ad8d866b~mv2.webp/Morrocan%20Mint%20Tea.webp#originWidth=800&originHeight=533","A fragrant and invigorating tea, combining fresh mint with a smooth green tea base for a refreshing, aromatic sip.","4eef69d1-a225-4ff2-8b63-1c7e103b904d",2024-11-14T08:19:06Z,2024-11-21T07:56:55Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"PEACH ICE TEA",35,"wix:image://v1/edde33_b7a27bfe74af45de8ee21a2b70e778a6~mv2.webp/PEACH%20ICE%20TEA.webp#originWidth=235&originHeight=250","A refreshing iced tea infused with the sweet, fruity flavor of ripe peaches for a delightful summer sip.","5c17261c-5c4f-4e7b-934b-077cbb505215",2024-11-14T08:19:12Z,2024-11-21T07:35:45Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Chamomile Tea",35,"wix:image://v1/edde33_df40c7360d9c479b998b87e310fc9076~mv2.webp/Chamomile%20Tea.webp#originWidth=250&originHeight=167","A gentle, soothing herbal tea with a delicate floral flavor, perfect for relaxation and unwinding after a long day.","6035ce00-ae7b-40da-9fb2-e9d473baea7d",2024-11-14T08:18:52Z,2024-11-21T08:00:05Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Classic iced tea",35,"wix:image://v1/edde33_e5a3e0f683ec438a9f7e6c982eb7aa8e~mv2.webp/Classic%20iced%20tea.webp#originWidth=250&originHeight=167","A refreshing, well-balanced iced tea that’s perfectly brewed and served chilled for a revitalizing taste.","6df9d2b2-b1b5-4e64-a37d-db6b5375bd13",2024-11-14T08:19:11Z,2024-11-21T07:37:40Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Berries Ice Tea",40,"wix:image://v1/edde33_478c52c689cc4ff7b84c220fd4bfa062~mv2.webp/Berries%20Ice%20Tea.webp#originWidth=250&originHeight=167","A burst of mixed berries in every sip, offering a tangy and refreshing iced tea experience.","88825587-5a91-4a04-be81-e15679059d02",2024-11-14T08:19:09Z,2024-11-21T07:39:30Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Lemon Grass Tea",35,"wix:image://v1/edde33_eb11c2fe928944458d659ad70186f7d9~mv2.webp/Lemon%20Grass%20Tea.webp#originWidth=250&originHeight=167","Delicate and fragrant lemongrass tea with a touch of citrus, offering a refreshing and soothing drink.","acacf990-ff8b-44ae-bd78-e5687acd6215",2024-11-14T08:18:52Z,2024-11-21T07:57:18Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Strawberry ice tea",35,"wix:image://v1/edde33_a345b525f11b4acaa586ba3b6fd31df6~mv2.webp/Strawberry%20ice%20tea.webp#originWidth=250&originHeight=192","Sweet strawberries blended with iced tea for a fruity and cooling twist.","c497507a-27a3-4184-9d16-2542b76b41fa",2024-11-14T08:19:10Z,2024-11-21T07:38:09Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Earl Gray Tea",35,"wix:image://v1/edde33_9a3f172904054f5e864f63d307e60cde~mv2.webp/Earl%20Gray%20Tea.webp#originWidth=250&originHeight=167","A fragrant black tea with citrusy notes and a refreshing, aromatic finish, perfect for a calming and rejuvenating experience.","cc01cfdc-a619-4daa-8910-315a99964ff6",2024-11-14T08:18:52Z,2024-11-21T07:59:20Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"White Rose Tea",35,"wix:image://v1/edde33_78da1c831c894b2899afdd0ecce948a8~mv2.webp/White%20Rose%20Tea.webp#originWidth=250&originHeight=166","A soothing herbal blend with delicate floral notes, offering a calming and refreshing tea experience for ultimate relaxation.","e6d7e3e4-f3c1-4f4b-b96e-f45c6a5dfa9c",2024-11-14T08:18:52Z,2024-11-21T07:58:16Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"English Tea",35,"wix:image://v1/edde33_112279a5d882452eadaf838c62707552~mv2.webp/English%20Tea.webp#originWidth=800&originHeight=533","A traditional black tea, rich in flavor and perfect for a classic iced tea experience.","fc753642-a9b8-40c7-9e3a-0517bb1188d6",2024-11-14T08:19:05Z,2024-11-21T07:57:06Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
